"path","class","extension","size_mb","width","height","has_meta","texture_type","srgb","mipmaps","streaming_mips"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.canopy/albedo___family.kelp.canopy.png","flora_coral_fauna","png","5.805","2048","2048","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.canopy/detail___family.kelp.canopy.png","flora_coral_fauna","png","9.22","2048","2048","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.canopy/mask___family.kelp.canopy.png","flora_coral_fauna","png","4.32","2048","2048","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.canopy/normal___family.kelp.canopy.png","flora_coral_fauna","png","5.271","2048","2048","True","1","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.patch.dense/albedo___family.kelp.patch.dense.png","flora_coral_fauna","png","6.349","2048","2048","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.patch.dense/detail___family.kelp.patch.dense.png","flora_coral_fauna","png","7.43","2048","2048","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.patch.dense/mask___family.kelp.patch.dense.png","flora_coral_fauna","png","6.022","2048","2048","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.patch.dense/normal___family.kelp.patch.dense.png","flora_coral_fauna","png","6.521","2048","2048","True","1","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.tall/albedo___family.kelp.tall.png","flora_coral_fauna","png","6.022","2048","2048","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.tall/detail___family.kelp.tall.png","flora_coral_fauna","png","6.185","2048","2048","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.tall/mask___family.kelp.tall.png","flora_coral_fauna","png","4.745","2048","2048","True","0","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.tall/normal___family.kelp.tall.png","flora_coral_fauna","png","5.072","2048","2048","True","1","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/TX_ProceduralBio_Shallows_AlbedoAtlas.png","flora_coral_fauna","png","1.665","1024","1024","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/TX_ProceduralBio_Shallows_MatCap.png","flora_coral_fauna","png","0.147","1024","1024","True","0","1","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/TX_ProceduralBio_Shallows_NormalAtlas.png","flora_coral_fauna","png","1.681","1024","1024","True","1","0","1","0"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/TX_ProceduralBio_Shallows_ORMAtlas.png","flora_coral_fauna","png","2.133","1024","1024","True","0","1","1","0"
"Assets/_Project/Scenes/02_HECTON_WORLD/ReflectionProbe-0.exr","unknown","exr","0.21","","","True","0","1","1","0"
"Docs/GeneratedAssets/Batch31_LocalPBR/Batch31_LocalPBR_contact_sheet.png","generated_prototype","png","1.395","1024","768","False","","","",""
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticSeabedSubstrate_2102/TX_B31_PhoticSeabedSubstrate_2102_Albedo_tile2x2.png","generated_prototype","png","1.109","1024","1024","False","","","",""
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticSeabedSubstrate_2102/TX_B31_PhoticSeabedSubstrate_2102_AlbedoSource.png","generated_prototype","png","2.221","1024","1024","False","","","",""
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticSeabedSubstrate_2102/TX_B31_PhoticSeabedSubstrate_2102_HeightSource.png","generated_prototype","png","0.867","1024","1024","False","","","",""
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticSeabedSubstrate_2102/TX_B31_PhoticSeabedSubstrate_2102_MRAOSource.png","generated_prototype","png","1.283","1024","1024","False","","","",""
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticSeabedSubstrate_2102/TX_B31_PhoticSeabedSubstrate_2102_Normal_tile2x2.png","generated_prototype","png","1.296","1024","1024","False","","","",""
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticSeabedSubstrate_2102/TX_B31_PhoticSeabedSubstrate_2102_NormalSource.png","generated_prototype","png","2.723","1024","1024","False","","","",""
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticSeabedSubstrate_2102/TX_B31_PhoticSeabedSubstrate_2102_SourceCrop.png","generated_prototype","png","2.183","1024","1024","False","","","",""
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticShellSandSubstrate_2102/TX_B31_PhoticShellSandSubstrate_2102_Albedo_tile2x2.png","terrain_geology","png","1.114","1024","1024","False","","","",""
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticShellSandSubstrate_2102/TX_B31_PhoticShellSandSubstrate_2102_AlbedoSource.png","terrain_geology","png","2.208","1024","1024","False","","","",""
"Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticShellSandSubstrate_2102/TX_B31_PhoticShellSandSubstrate_2102_HeightSource.png","terrain_geology","png","0.855","1024","1024","False","","","",""
