"Path","AssetKind","AnimationCompression","RotationError","PositionError","ScaleError","Flags"
"Assets/ScifiFacility/Models/structural/rails+scaffolds+stairs/scaffold_04.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/rails+scaffolds+stairs/scaffold_connector.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/rails+scaffolds+stairs/stairs_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/rails+scaffolds+stairs/walk_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/rails+scaffolds+stairs/walk_02.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/rails+scaffolds+stairs/walk_03.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/rails+scaffolds+stairs/walk_04.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/trims/trim_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/trims/trim_02.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/trims/trim_03.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/trims/trim_04.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/trims/trim_05.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/trims/trim_05_cap.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/trims/trim_06_a.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/trims/trim_06_b.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/trims/trim_07.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/walls/column_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/walls/column_01_base.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/walls/column_03.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/walls/column_04.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/walls/column_04_connector.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/walls/column_04_connector_b.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/walls/column_05.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/walls/column_05_prop_01.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/walls/hull.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/walls/viewing_deck.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/walls/wall_01_2x3_b.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/walls/wall_01_2x3_top_trim.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/walls/wall_01_4x3_a.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/walls/wall_01_4x3_b.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/walls/wall_01_4x3_d.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/walls/wall_01_4x3_door.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/walls/wall_01_4x3_door_02.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/walls/wall_01_4x3_door_b.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/walls/wall_01_4x3_door_wings.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/walls/wall_01_4x3_door_wing_left.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/walls/wall_01_4x3_door_wing_right.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/walls/wall_01_4x3_e.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/walls/wall_01_4x3_f.fbx","ModelImporter","1","0.5","0.5","0.5",""
"Assets/ScifiFacility/Models/structural/walls/wall_01_4x3_g.fbx","ModelImporter","1","0.5","0.5","0.5",""
